player_name,team_abbreviation,age,player_height_cm,player_weight_kg,college,country_born_in,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Jake Layman,MIN,28,203.2,94.800728,Maryland,USA,2016,2,47,34,2.4,1.1,0.3,-3.4,0.025,0.123,0.16,0.5,0.055
Abdel Nader,PHX,28,195.58,102.0582,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065
Cheick Diallo,DET,25,203.2,99.336648,Kansas,Mali,2016,2,33,3,3.7,4,0,-50.7,0.098,0.296,0.145,0.517,0
Petr Cornelie,DEN,26,210.82,99.79024,None,France,2016,2,53,13,1.1,1.1,0.2,5.8,0.159,0.219,0.208,0.418,0.115
Tyrone Wallace,NOP,28,195.58,89.811216,California,USA,2016,2,60,6,2.8,1.3,0.2,-9.9,0,0.133,0.13,0.383,0.017
Malcolm Brogdon,IND,29,195.58,103.872568,Virginia,USA,2016,2,36,36,19.1,5.1,5.9,-0.4,0.026,0.121,0.241,0.557,0.271
Dillon Brooks,MEM,26,200.66,102.0582,Oregon,Canada,2017,2,45,32,18.4,3.2,2.8,11,0.03,0.08,0.283,0.515,0.147
Frank Jackson,DET,24,190.5,92.98636,Duke,USA,2017,2,31,53,10.6,1.6,1,-6.8,0.015,0.058,0.203,0.53,0.077
Isaiah Hartenstein,LAC,24,213.36,113.398,None,Germany,2017,2,43,68,8.3,4.9,2.4,7,0.097,0.158,0.177,0.664,0.193
Davon Reed,DEN,27,195.58,93.439952,Miami,USA,2017,2,32,48,4.4,2.3,1.1,0.3,0.021,0.14,0.117,0.624,0.115
Damyean Dotson,NYK,28,195.58,95.25432,Houston,USA,2017,2,44,2,2,1,0.5,-0.8,0,0.111,0.089,0.5,0.071
Sterling Brown,DAL,27,195.58,99.336648,Southern Methodist,USA,2017,2,46,49,3.3,3,0.7,2.3,0.039,0.187,0.124,0.495,0.078
Semi Ojeleye,LAC,27,198.12,108.86208,Southern Methodist,USA,2017,2,37,30,3.3,2.5,0.3,-16.6,0.057,0.111,0.126,0.438,0.033
